"bague","autre_bague","espece","sexe","age_2026","lieu_bag","nic_naiss","sang_ok","nb_captures","last_mesure"
"10173001",,"bleue",,1,"mur","mur_147","non",1,"09/05/2025"
"10173002",,"bleue",,1,"mur","mur_147","non",1,"09/05/2025"
"10173003",,"bleue",,1,"mur","mur_147","non",1,"09/05/2025"
"10173004",,"bleue",,1,"mur","mur_147","non",1,"09/05/2025"
"10173005",,"bleue",,1,"mur","mur_147","non",1,"09/05/2025"
"10173006",,"bleue",,1,"mur","mur_147","non",1,"09/05/2025"
"10173007",,"bleue",,1,"mur","mur_147","non",1,"09/05/2025"
"10173008",,"bleue",,1,"mur","mur_147","non",1,"09/05/2025"
"10173009",,"bleue",,1,"mur","mur_147","non",1,"09/05/2025"
"10173010",,"bleue",,1,"mur","mur_147","non",1,"09/05/2025"
"10173011",,"bleue",,1,"ava","ava_13","non",3,"18/05/2025"
"10173012",,"bleue",,1,"ava","ava_13","non",3,"18/05/2025"
"10173013",,"bleue",,1,"ava","ava_13","non",3,"18/05/2025"
"10173014",,"bleue",,1,"ava","ava_13","non",3,"18/05/2025"
"10173015",,"bleue",,1,"ava","ava_13","non",3,"18/05/2025"
"10173016",,"bleue",,1,"ava","ava_13","non",3,"18/05/2025"
"10173017",,"bleue",,1,"ava","ava_13","non",3,"18/05/2025"
"10173018",,"bleue",,1,"mur","mur_152","non",1,"11/05/2025"
"10173019",,"bleue",,1,"mur","mur_152","non",1,"11/05/2025"
"10173020",,"bleue",,1,"mur","mur_152","non",1,"11/05/2025"
"10173021",,"bleue",,1,"mur","mur_152","non",1,"11/05/2025"
"10173022",,"bleue",,1,"mur","mur_152","non",1,"11/05/2025"
"10173023",,"bleue",,1,"mur","mur_152","non",1,"11/05/2025"
"10173024",,"bleue",,1,"mur","mur_152","non",1,"11/05/2025"
"10173025",,"bleue",,1,"mur","mur_152","non",1,"11/05/2025"
"10173026",,"bleue",,1,"mur","mur_101","non",1,"11/05/2025"
"10173027",,"bleue",,1,"mur","mur_101","non",1,"11/05/2025"
"10173028",,"bleue",,1,"mur","mur_101","non",1,"11/05/2025"
"10173029",,"bleue",,1,"mur","mur_101","non",1,"11/05/2025"
"10173030",,"bleue",,1,"mur","mur_101","non",1,"11/05/2025"
"10173031",,"bleue",,1,"mur","mur_101","non",1,"11/05/2025"
"10173032",,"bleue",,1,"fil","fil_14","non",1,"11/05/2025"
"10173033",,"bleue",,1,"fil","fil_14","non",1,"11/05/2025"
"10173034",,"bleue",,1,"fil","fil_14","non",1,"11/05/2025"
"10173035",,"bleue",,1,"fil","fil_14","non",1,"11/05/2025"
"10173036",,"bleue",,1,"fil","fil_14","non",1,"11/05/2025"
"10173037",,"bleue",,1,"ava","ava_21","non",3,"19/05/2025"
"10173038",,"bleue",,1,"ava","ava_21","non",3,"19/05/2025"
"10173039",,"bleue",,1,"ava","ava_21","non",3,"19/05/2025"
"10173040",,"bleue",,1,"ava","ava_21","non",3,"19/05/2025"
"10173041",,"bleue",,1,"ava","ava_21","non",3,"19/05/2025"
"10173042",,"bleue",,1,"ava","ava_21","non",3,"19/05/2025"
"10173043",,"bleue",,1,"pir","pir_159","non",3,"21/05/2025"
"10173044",,"bleue",,1,"pir","pir_159","non",3,"21/05/2025"
"10173045",,"bleue",,1,"pir","pir_159","non",3,"21/05/2025"
"10173046",,"bleue",,1,"pir","pir_159","non",3,"21/05/2025"
"10173047",,"bleue",,1,"pir","pir_159","non",3,"21/05/2025"
"10173048",,"bleue","F",3,"ava",,"oui",1,"15/05/2025"
"10173049",,"bleue",,1,"mur","mur_72","non",1,"15/05/2025"
"10173050",,"bleue",,1,"mur","mur_72","non",1,"15/05/2025"
"10173051",,"bleue",,1,"mur","mur_72","non",1,"15/05/2025"
"10173052",,"bleue",,1,"mur","mur_72","non",1,"15/05/2025"
"10173053",,"bleue",,1,"mur","mur_72","non",1,"15/05/2025"
"10173054",,"bleue",,1,"mur","mur_72","non",1,"15/05/2025"
"10173055",,"bleue",,1,"mur","mur_72","non",1,"15/05/2025"
"10173056",,"bleue",,1,"mur","mur_72","non",1,"15/05/2025"
"10173057",,"charbo","F",3,"fil",,"oui",1,"15/05/2025"
"10173058",,"bleue",,1,"fil","fil_17","non",1,"15/05/2025"
"10173059",,"bleue",,1,"fil","fil_17","non",1,"15/05/2025"
"10173060",,"bleue",,1,"fil","fil_17","non",1,"15/05/2025"
"10173061",,"bleue",,1,"fil","fil_17","non",1,"15/05/2025"
"10173062",,"bleue",,1,"fil","fil_17","non",1,"15/05/2025"
"10173063",,"bleue",,1,"fil","fil_17","non",1,"15/05/2025"
"10173064",,"bleue",,1,"fil","fil_17","non",1,"15/05/2025"
"10173065",,"bleue",,1,"fil","fil_17","non",1,"15/05/2025"
"10173066",,"bleue","M",2,"pir",,"oui",1,"16/05/2025"
"10173073",,"bleue",,1,"fel","fel_19","non",1,"16/05/2025"
"10173074",,"bleue",,1,"fel","fel_19","non",1,"16/05/2025"
"10173075",,"bleue",,1,"fel","fel_19","non",1,"16/05/2025"
"10173076",,"bleue",,1,"fel","fel_19","non",1,"16/05/2025"
"10173077",,"bleue",,1,"fel","fel_19","non",1,"16/05/2025"
"10173078",,"bleue",,1,"ava","ava_15","non",3,"24/05/2025"
"10173079",,"bleue",,1,"ava","ava_15","non",3,"24/05/2025"
"10173080",,"bleue",,1,"ava","ava_15","non",3,"24/05/2025"
"10173081",,"bleue",,1,"ava","ava_15","non",3,"24/05/2025"
"10173082",,"bleue",,1,"fel","fel_16","non",1,"18/05/2025"
"10173083",,"bleue",,1,"mur","mur_139","non",1,"18/05/2025"
"10173084",,"bleue",,1,"mur","mur_139","non",1,"18/05/2025"
"10173085",,"bleue",,1,"mur","mur_139","non",1,"18/05/2025"
"10173086",,"bleue",,1,"mur","mur_139","non",1,"18/05/2025"
"10173087",,"bleue",,1,"mur","mur_139","non",2,"28/05/2025"
"10173088",,"bleue",,1,"mur","mur_139","non",1,"18/05/2025"
"10173089",,"bleue",,1,"mur","mur_139","non",1,"18/05/2025"
"10173090",,"bleue","F",2,"mur",,"oui",1,"19/05/2025"
"10173091",,"bleue","M",3,"mur",,"oui",1,"19/05/2025"
"10173094",,"bleue",,1,"pir","pir_111","non",1,"02/06/2025"
"10173095",,"bleue",,1,"pir","pir_111","non",1,"02/06/2025"
"10173096",,"bleue",,1,"pir","pir_111","non",1,"02/06/2025"
"10173097",,"bleue",,1,"pir","pir_111","non",1,"02/06/2025"
"10173098",,"bleue","F",2,"pir",,"oui",1,"03/06/2025"
"10173099",,"bleue","F",2,"pir",,"non",1,"03/06/2025"
"10173100",,"bleue","M",3,"mur",,"oui",1,"11/06/2025"
"10173101",,"bleue",,1,"pir","pir_131","non",1,"30/05/2025"
"10173103",,"bleue",,1,"pir","pir_131","non",1,"30/05/2025"
"10173104",,"bleue",,1,"pir","pir_131","non",1,"30/05/2025"
"10173105",,"bleue",,1,"pir","pir_131","non",1,"30/05/2025"
"10173106",,"bleue",,1,"pir","pir_131","non",1,"30/05/2025"
"10173107",,"bleue",,1,"pir","pir_131","non",1,"30/05/2025"
"10173108",,"bleue",,1,"pir","pir_315","non",1,"30/05/2025"
"10173109",,"bleue",,1,"pir","pir_315","non",1,"30/05/2025"
"10173110",,"bleue",,1,"pir","pir_315","non",1,"30/05/2025"
"10173111",,"bleue",,1,"pir","pir_315","non",1,"30/05/2025"
"10173112",,"bleue",,1,"pir","pir_315","non",1,"30/05/2025"
"10173113",,"bleue",,1,"pir","pir_315","non",1,"30/05/2025"
"10173114",,"bleue",,1,"pir","pir_315","non",1,"30/05/2025"
"10173115",,"bleue",,1,"pir","pir_89","non",3,"05/06/2025"
"10173116",,"bleue",,1,"pir","pir_240","non",1,"01/06/2025"
"10173117",,"bleue",,1,"pir","pir_240","non",1,"01/06/2025"
"10173118",,"bleue",,1,"pir","pir_240","non",1,"01/06/2025"
"10173119",,"bleue",,1,"pir","pir_240","non",1,"01/06/2025"
"10173120",,"bleue",,1,"pir","pir_240","non",1,"01/06/2025"
"10173121",,"bleue",,1,"pir","pir_137","non",1,"01/06/2025"
"10173122",,"bleue",,1,"pir","pir_137","non",1,"01/06/2025"
"10173123",,"bleue",,1,"pir","pir_137","non",1,"01/06/2025"
"10173124",,"bleue",,1,"pir","pir_137","non",1,"01/06/2025"
"10173125",,"bleue",,1,"pir","pir_137","non",1,"01/06/2025"
"10173126",,"bleue",,1,"pir","pir_137","non",1,"01/06/2025"
"10173127",,"bleue",,1,"pir","pir_137","non",1,"01/06/2025"
"10173128",,"bleue",,1,"pir","pir_138","non",1,"01/06/2025"
"10173129",,"bleue",,1,"pir","pir_138","non",1,"01/06/2025"
"10173130",,"bleue",,1,"pir","pir_138","non",1,"01/06/2025"
"10173131",,"bleue",,1,"pir","pir_138","non",1,"01/06/2025"
"10173132",,"bleue",,1,"pir","pir_138","non",1,"01/06/2025"
"10173133",,"bleue",,1,"pir","pir_138","non",1,"01/06/2025"
"10173134",,"bleue",,1,"pir","pir_40","non",1,"01/06/2025"
"10173135",,"bleue",,1,"pir","pir_40","non",1,"01/06/2025"
"10173136",,"bleue",,1,"pir","pir_40","non",1,"01/06/2025"
"10173137",,"bleue",,1,"pir","pir_40","non",1,"01/06/2025"
"10173138",,"bleue",,1,"pir","pir_40","non",1,"01/06/2025"
"10173139",,"bleue",,1,"pir","pir_118","non",1,"01/06/2025"
"10173140",,"bleue",,1,"pir","pir_118","non",1,"01/06/2025"
"10173141",,"bleue",,1,"pir","pir_118","non",1,"01/06/2025"
"10173142",,"bleue",,1,"pir","pir_118","non",1,"01/06/2025"
"10173143",,"bleue",,1,"pir","pir_118","non",1,"01/06/2025"
"10173144",,"bleue",,1,"pir","pir_118","non",1,"01/06/2025"
"10173145",,"bleue",,1,"pir","pir_227","non",1,"01/06/2025"
"10173146",,"bleue",,1,"pir","pir_227","non",1,"01/06/2025"
"10173147",,"bleue",,1,"pir","pir_227","non",1,"01/06/2025"
"10173148",,"bleue",,1,"pir","pir_227","non",1,"01/06/2025"
"10173149",,"bleue",,1,"pir","pir_227","non",1,"01/06/2025"
"10173150",,"bleue",,1,"pir","pir_227","non",1,"01/06/2025"
"10173151",,"bleue",,1,"pir","pir_227","non",1,"01/06/2025"
"10173152",,"bleue",,1,"pir","pir_105","non",3,"08/06/2025"
"10173153",,"bleue",,1,"pir","pir_105","non",3,"08/06/2025"
"10173154",,"bleue",,1,"pir","pir_105","non",3,"08/06/2025"
"10173155",,"bleue",,1,"pir","pir_105","non",3,"08/06/2025"
