"bague","autre_bague","espece","sexe","age_capture","age_current","lieu_bag","nic_naiss","sang_ok","nb_captures","last_mesure","nb_of","nb_cog"
"10173001",,"bleue",,"poussin",1,"mur","mur_147","non",1,"09/05/2025",0,0
"10173002",,"bleue",,"poussin",1,"mur","mur_147","non",1,"09/05/2025",0,0
"10173003",,"bleue",,"poussin",1,"mur","mur_147","non",1,"09/05/2025",0,0
"10173004",,"bleue",,"poussin",1,"mur","mur_147","non",1,"09/05/2025",0,0
"10173005",,"bleue",,"poussin",1,"mur","mur_147","non",1,"09/05/2025",0,0
"10173006",,"bleue",,"poussin",1,"mur","mur_147","non",1,"09/05/2025",0,0
"10173007",,"bleue",,"poussin",1,"mur","mur_147","non",1,"09/05/2025",0,0
"10173008",,"bleue",,"poussin",1,"mur","mur_147","non",1,"09/05/2025",0,0
"10173009",,"bleue",,"poussin",1,"mur","mur_147","non",1,"09/05/2025",0,0
"10173010",,"bleue",,"poussin",1,"mur","mur_147","non",1,"09/05/2025",0,0
"10173011",,"bleue",,"poussin",1,"ava","ava_13","non",3,"18/05/2025",0,0
"10173012",,"bleue",,"poussin",1,"ava","ava_13","non",3,"18/05/2025",0,0
"10173013",,"bleue",,"poussin",1,"ava","ava_13","non",3,"18/05/2025",0,0
"10173014",,"bleue",,"poussin",1,"ava","ava_13","non",3,"18/05/2025",0,0
"10173015",,"bleue",,"poussin",1,"ava","ava_13","non",3,"18/05/2025",0,0
"10173016",,"bleue",,"poussin",1,"ava","ava_13","non",3,"18/05/2025",0,0
"10173017",,"bleue",,"poussin",1,"ava","ava_13","non",3,"18/05/2025",0,0
"10173018",,"bleue",,"poussin",1,"mur","mur_152","non",1,"11/05/2025",0,0
"10173019",,"bleue",,"poussin",1,"mur","mur_152","non",1,"11/05/2025",0,0
"10173020",,"bleue",,"poussin",1,"mur","mur_152","non",1,"11/05/2025",0,0
"10173021",,"bleue",,"poussin",1,"mur","mur_152","non",1,"11/05/2025",0,0
"10173022",,"bleue",,"poussin",1,"mur","mur_152","non",1,"11/05/2025",0,0
"10173023",,"bleue",,"poussin",1,"mur","mur_152","non",1,"11/05/2025",0,0
"10173024",,"bleue",,"poussin",1,"mur","mur_152","non",1,"11/05/2025",0,0
"10173025",,"bleue",,"poussin",1,"mur","mur_152","non",1,"11/05/2025",0,0
"10173026",,"bleue",,"poussin",1,"mur","mur_101","non",1,"11/05/2025",0,0
"10173027",,"bleue",,"poussin",1,"mur","mur_101","non",1,"11/05/2025",0,0
"10173028",,"bleue",,"poussin",1,"mur","mur_101","non",1,"11/05/2025",0,0
"10173029",,"bleue",,"poussin",1,"mur","mur_101","non",1,"11/05/2025",0,0
"10173030",,"bleue",,"poussin",1,"mur","mur_101","non",1,"11/05/2025",0,0
"10173031",,"bleue",,"poussin",1,"mur","mur_101","non",1,"11/05/2025",0,0
"10173032",,"bleue",,"poussin",1,"fil","fil_14","non",1,"11/05/2025",0,0
"10173033",,"bleue",,"poussin",1,"fil","fil_14","non",1,"11/05/2025",0,0
"10173034",,"bleue",,"poussin",1,"fil","fil_14","non",1,"11/05/2025",0,0
"10173035",,"bleue",,"poussin",1,"fil","fil_14","non",1,"11/05/2025",0,0
"10173036",,"bleue",,"poussin",1,"fil","fil_14","non",1,"11/05/2025",0,0
"10173037",,"bleue",,"poussin",1,"ava","ava_21","non",3,"19/05/2025",0,0
"10173038",,"bleue",,"poussin",1,"ava","ava_21","non",3,"19/05/2025",0,0
"10173039",,"bleue",,"poussin",1,"ava","ava_21","non",3,"19/05/2025",0,0
"10173040",,"bleue",,"poussin",1,"ava","ava_21","non",3,"19/05/2025",0,0
"10173041",,"bleue",,"poussin",1,"ava","ava_21","non",3,"19/05/2025",0,0
"10173042",,"bleue",,"poussin",1,"ava","ava_21","non",3,"19/05/2025",0,0
"10173043",,"bleue",,"poussin",1,"pir","pir_159","non",3,"21/05/2025",0,0
"10173044",,"bleue",,"poussin",1,"pir","pir_159","non",3,"21/05/2025",0,0
"10173045",,"bleue",,"poussin",1,"pir","pir_159","non",3,"21/05/2025",0,0
"10173046",,"bleue",,"poussin",1,"pir","pir_159","non",3,"21/05/2025",0,0
"10173047",,"bleue",,"poussin",1,"pir","pir_159","non",3,"21/05/2025",0,0
"10173048",,"bleue","F","adulte",3,"ava",,"oui",1,"15/05/2025",0,0
"10173049",,"bleue",,"poussin",1,"mur","mur_72","non",1,"15/05/2025",0,0
"10173050",,"bleue",,"poussin",1,"mur","mur_72","non",1,"15/05/2025",0,0
"10173051",,"bleue",,"poussin",1,"mur","mur_72","non",1,"15/05/2025",0,0
"10173052",,"bleue",,"poussin",1,"mur","mur_72","non",1,"15/05/2025",0,0
"10173053",,"bleue",,"poussin",1,"mur","mur_72","non",1,"15/05/2025",0,0
"10173054",,"bleue",,"poussin",1,"mur","mur_72","non",1,"15/05/2025",0,0
"10173055",,"bleue",,"poussin",1,"mur","mur_72","non",1,"15/05/2025",0,0
"10173056",,"bleue",,"poussin",1,"mur","mur_72","non",1,"15/05/2025",0,0
"10173057",,"charbo","F","adulte",3,"fil",,"oui",1,"15/05/2025",0,0
"10173058",,"bleue",,"poussin",1,"fil","fil_17","non",1,"15/05/2025",0,0
"10173059",,"bleue",,"poussin",1,"fil","fil_17","non",1,"15/05/2025",0,0
"10173060",,"bleue",,"poussin",1,"fil","fil_17","non",1,"15/05/2025",0,0
"10173061",,"bleue",,"poussin",1,"fil","fil_17","non",1,"15/05/2025",0,0
"10173062",,"bleue",,"poussin",1,"fil","fil_17","non",1,"15/05/2025",0,0
"10173063",,"bleue",,"poussin",1,"fil","fil_17","non",1,"15/05/2025",0,0
"10173064",,"bleue",,"poussin",1,"fil","fil_17","non",1,"15/05/2025",0,0
"10173065",,"bleue",,"poussin",1,"fil","fil_17","non",1,"15/05/2025",0,0
"10173066",,"bleue","M","juvénile",2,"pir",,"oui",1,"16/05/2025",0,0
"10173073",,"bleue",,"poussin",1,"fel","fel_19","non",1,"16/05/2025",0,0
"10173074",,"bleue",,"poussin",1,"fel","fel_19","non",1,"16/05/2025",0,0
"10173075",,"bleue",,"poussin",1,"fel","fel_19","non",1,"16/05/2025",0,0
"10173076",,"bleue",,"poussin",1,"fel","fel_19","non",1,"16/05/2025",0,0
"10173077",,"bleue",,"poussin",1,"fel","fel_19","non",1,"16/05/2025",0,0
"10173078",,"bleue",,"poussin",1,"ava","ava_15","non",3,"24/05/2025",0,0
"10173079",,"bleue",,"poussin",1,"ava","ava_15","non",3,"24/05/2025",0,0
"10173080",,"bleue",,"poussin",1,"ava","ava_15","non",3,"24/05/2025",0,0
"10173081",,"bleue",,"poussin",1,"ava","ava_15","non",3,"24/05/2025",0,0
"10173082",,"bleue",,"poussin",1,"fel","fel_16","non",1,"18/05/2025",0,0
"10173083",,"bleue",,"poussin",1,"mur","mur_139","non",1,"18/05/2025",0,0
"10173084",,"bleue",,"poussin",1,"mur","mur_139","non",1,"18/05/2025",0,0
"10173085",,"bleue",,"poussin",1,"mur","mur_139","non",1,"18/05/2025",0,0
"10173086",,"bleue",,"poussin",1,"mur","mur_139","non",1,"18/05/2025",0,0
"10173087",,"bleue",,"poussin",1,"mur","mur_139","non",2,"28/05/2025",0,0
"10173088",,"bleue",,"poussin",1,"mur","mur_139","non",1,"18/05/2025",0,0
"10173089",,"bleue",,"poussin",1,"mur","mur_139","non",1,"18/05/2025",0,0
"10173090",,"bleue","F","juvénile",2,"mur",,"oui",1,"19/05/2025",0,0
"10173091",,"bleue","M","adulte",3,"mur",,"oui",1,"19/05/2025",0,0
"10173094",,"bleue",,"poussin",1,"pir","pir_111","non",1,"02/06/2025",0,0
"10173095",,"bleue",,"poussin",1,"pir","pir_111","non",1,"02/06/2025",0,0
"10173096",,"bleue",,"poussin",1,"pir","pir_111","non",1,"02/06/2025",0,0
"10173097",,"bleue",,"poussin",1,"pir","pir_111","non",1,"02/06/2025",0,0
"10173098",,"bleue","F","juvénile",2,"pir",,"oui",1,"03/06/2025",0,0
"10173099",,"bleue","F","juvénile",2,"pir",,"non",1,"03/06/2025",0,0
"10173100",,"bleue","M","adulte",3,"mur",,"oui",1,"11/06/2025",0,0
"10173101",,"bleue",,"poussin",1,"pir","pir_131","non",1,"30/05/2025",0,0
"10173103",,"bleue",,"poussin",1,"pir","pir_131","non",1,"30/05/2025",0,0
"10173104",,"bleue",,"poussin",1,"pir","pir_131","non",1,"30/05/2025",0,0
"10173105",,"bleue",,"poussin",1,"pir","pir_131","non",1,"30/05/2025",0,0
"10173106",,"bleue",,"poussin",1,"pir","pir_131","non",1,"30/05/2025",0,0
"10173107",,"bleue",,"poussin",1,"pir","pir_131","non",1,"30/05/2025",0,0
"10173108",,"bleue",,"poussin",1,"pir","pir_315","non",1,"30/05/2025",0,0
"10173109",,"bleue",,"poussin",1,"pir","pir_315","non",1,"30/05/2025",0,0
"10173110",,"bleue",,"poussin",1,"pir","pir_315","non",1,"30/05/2025",0,0
"10173111",,"bleue",,"poussin",1,"pir","pir_315","non",1,"30/05/2025",0,0
"10173112",,"bleue",,"poussin",1,"pir","pir_315","non",1,"30/05/2025",0,0
"10173113",,"bleue",,"poussin",1,"pir","pir_315","non",1,"30/05/2025",0,0
"10173114",,"bleue",,"poussin",1,"pir","pir_315","non",1,"30/05/2025",0,0
"10173115",,"bleue",,"poussin",1,"pir","pir_89","non",3,"05/06/2025",0,0
"10173116",,"bleue",,"poussin",1,"pir","pir_240","non",1,"01/06/2025",0,0
"10173117",,"bleue",,"poussin",1,"pir","pir_240","non",1,"01/06/2025",0,0
"10173118",,"bleue",,"poussin",1,"pir","pir_240","non",1,"01/06/2025",0,0
"10173119",,"bleue",,"poussin",1,"pir","pir_240","non",1,"01/06/2025",0,0
"10173120",,"bleue",,"poussin",1,"pir","pir_240","non",1,"01/06/2025",0,0
"10173121",,"bleue",,"poussin",1,"pir","pir_137","non",1,"01/06/2025",0,0
"10173122",,"bleue",,"poussin",1,"pir","pir_137","non",1,"01/06/2025",0,0
