"bague","autre_bague","espece","sexe","age_capture","age_current","lieu_bag","nic_naiss","sang_ok","nb_captures","last_mesure","nb_of","nb_cog"
"10174201",,"bleue",,"poussin",1,"mos","mos_45","non",2,"26/06/2025",0,0
"10174202","M65","charbo","M","juvénile",2,"rou",,"non",1,"30/06/2025",0,0
"10174301",,"bleue",,"poussin",1,"rou","rou_43","non",1,"13/05/2025",0,0
"10174302",,"bleue",,"poussin",1,"rou","rou_43","non",1,"13/05/2025",0,0
"10174303",,"bleue",,"poussin",1,"rou","rou_43","non",1,"13/05/2025",0,0
"10174304",,"bleue",,"poussin",1,"rou","rou_43","non",1,"13/05/2025",0,0
"10174305",,"bleue",,"poussin",1,"rou","rou_43","non",1,"13/05/2025",0,0
"10174306",,"bleue",,"poussin",1,"rou","rou_43","non",1,"13/05/2025",0,0
"10174307",,"bleue",,"poussin",1,"rou","rou_43","non",1,"13/05/2025",0,0
"10174308",,"bleue",,"poussin",1,"rou","rou_43","non",1,"13/05/2025",0,0
"10174309",,"bleue",,"poussin",1,"rou","rou_43","non",1,"13/05/2025",0,0
"10174310",,"bleue",,"poussin",1,"rou","rou_27","non",1,"13/05/2025",0,0
"10174311",,"bleue",,"poussin",1,"rou","rou_27","non",1,"13/05/2025",0,0
"10174312",,"bleue",,"poussin",1,"rou","rou_27","non",2,"20/05/2025",0,0
"10174313",,"bleue",,"poussin",1,"rou","rou_27","non",1,"13/05/2025",0,0
"10174314",,"bleue",,"poussin",1,"rou","rou_27","non",1,"13/05/2025",0,0
"10174315",,"bleue",,"poussin",1,"rou","rou_27","non",2,"20/05/2025",0,0
"10174316",,"bleue",,"poussin",1,"rou","rou_27","non",1,"13/05/2025",0,0
"10174317",,"bleue",,"poussin",1,"rou","rou_27","non",2,"20/05/2025",0,0
"10174318",,"bleue",,"poussin",1,"rou","rou_27","non",2,"20/05/2025",0,0
"10174319",,"bleue",,"poussin",1,"rou","rou_318","non",1,"14/05/2025",0,0
"10174320",,"bleue",,"poussin",1,"rou","rou_318","non",1,"14/05/2025",0,0
"10174321",,"bleue",,"poussin",1,"rou","rou_318","non",1,"14/05/2025",0,0
"10174322",,"bleue",,"poussin",1,"rou","rou_318","non",1,"14/05/2025",0,0
"10174323",,"bleue",,"poussin",1,"rou","rou_318","non",1,"14/05/2025",0,0
"10174324",,"bleue",,"poussin",1,"rou","rou_318","non",1,"14/05/2025",0,0
"10174325",,"bleue",,"poussin",1,"rou","rou_318","non",1,"14/05/2025",0,0
"10174326",,"bleue",,"poussin",1,"rou","rou_318","non",1,"14/05/2025",0,0
"10174327",,"bleue",,"poussin",1,"rou","rou_318","non",1,"14/05/2025",0,0
"10174328",,"bleue",,"poussin",1,"rou","rou_317","non",1,"14/05/2025",0,0
"10174329",,"bleue",,"poussin",1,"rou","rou_317","non",1,"14/05/2025",0,0
"10174330",,"bleue",,"poussin",1,"rou","rou_317","non",1,"14/05/2025",0,0
"10174331",,"bleue",,"poussin",1,"rou","rou_317","non",1,"14/05/2025",0,0
"10174332",,"bleue",,"poussin",1,"rou","rou_317","non",1,"14/05/2025",0,0
"10174333",,"bleue",,"poussin",1,"rou","rou_317","non",1,"14/05/2025",0,0
"10174334",,"bleue",,"poussin",1,"rou","rou_317","non",1,"14/05/2025",0,0
"10174335",,"bleue",,"poussin",1,"rou","rou_317","non",1,"14/05/2025",0,0
"10174336",,"bleue",,"poussin",1,"rou","rou_317","non",1,"14/05/2025",0,0
"10174337",,"bleue",,"poussin",1,"rou","rou_317","non",1,"14/05/2025",0,0
"10174338",,"bleue",,"poussin",1,"rou","rou_317","non",1,"14/05/2025",0,0
"10174339",,"bleue",,"poussin",1,"rou","rou_369","non",1,"14/05/2025",0,0
"10174340",,"bleue",,"poussin",1,"rou","rou_369","non",1,"14/05/2025",0,0
"10174341",,"bleue",,"poussin",1,"rou","rou_369","non",1,"14/05/2025",0,0
"10174342",,"bleue",,"poussin",1,"rou","rou_369","non",1,"14/05/2025",0,0
"10174343",,"bleue",,"poussin",1,"rou","rou_369","non",1,"14/05/2025",0,0
