"label","last_mesure","sang_ok"
"10173001","09/05/2025","non"
"10173002","09/05/2025","non"
"10173003","09/05/2025","non"
"10173004","09/05/2025","non"
"10173005","09/05/2025","non"
"10173006","09/05/2025","non"
"10173007","09/05/2025","non"
"10173008","09/05/2025","non"
"10173009","09/05/2025","non"
"10173010","09/05/2025","non"
"10173011","18/05/2025","non"
"10173012","18/05/2025","non"
"10173013","18/05/2025","non"
"10173014","18/05/2025","non"
"10173015","18/05/2025","non"
"10173016","18/05/2025","non"
"10173017","18/05/2025","non"
"10173018","11/05/2025","non"
"10173019","11/05/2025","non"
"10173020","11/05/2025","non"
"10173021","11/05/2025","non"
"10173022","11/05/2025","non"
"10173023","11/05/2025","non"
"10173024","11/05/2025","non"
"10173025","11/05/2025","non"
"10173026","11/05/2025","non"
"10173027","11/05/2025","non"
"10173028","11/05/2025","non"
"10173029","11/05/2025","non"
"10173030","11/05/2025","non"
"10173031","11/05/2025","non"
"10173032","11/05/2025","non"
"10173033","11/05/2025","non"
"10173034","11/05/2025","non"
"10173035","11/05/2025","non"
"10173036","11/05/2025","non"
"10173037","19/05/2025","non"
"10173038","19/05/2025","non"
"10173039","19/05/2025","non"
"10173040","19/05/2025","non"
"10173041","19/05/2025","non"
"10173042","19/05/2025","non"
"10173043","21/05/2025","non"
"10173044","21/05/2025","non"
"10173045","21/05/2025","non"
"10173046","21/05/2025","non"
"10173047","21/05/2025","non"
"10173048","15/05/2025","oui"
"10173049","15/05/2025","non"
"10173050","15/05/2025","non"
"10173051","15/05/2025","non"
"10173052","15/05/2025","non"
"10173053","15/05/2025","non"
"10173054","15/05/2025","non"
"10173055","15/05/2025","non"
"10173056","15/05/2025","non"
"10173057","15/05/2025","oui"
"10173058","15/05/2025","non"
"10173059","15/05/2025","non"
"10173060","15/05/2025","non"
"10173061","15/05/2025","non"
"10173062","15/05/2025","non"
"10173063","15/05/2025","non"
"10173064","15/05/2025","non"
"10173065","15/05/2025","non"
"10173066","16/05/2025","oui"
"10173073","16/05/2025","non"
"10173074","16/05/2025","non"
"10173075","16/05/2025","non"
"10173076","16/05/2025","non"
"10173077","16/05/2025","non"
"10173078","24/05/2025","non"
"10173079","24/05/2025","non"
"10173080","24/05/2025","non"
"10173081","24/05/2025","non"
"10173082","18/05/2025","non"
"10173083","18/05/2025","non"
"10173084","18/05/2025","non"
"10173085","18/05/2025","non"
"10173086","18/05/2025","non"
"10173087","28/05/2025","non"
"10173088","18/05/2025","non"
"10173089","18/05/2025","non"
"10173090","19/05/2025","oui"
"10173091","19/05/2025","oui"
"10173094","02/06/2025","non"
"10173095","02/06/2025","non"
"10173096","02/06/2025","non"
"10173097","02/06/2025","non"
"10173098","03/06/2025","oui"
"10173099","03/06/2025","non"
"10173100","11/06/2025","oui"
"10173101","30/05/2025","non"
"10173103","30/05/2025","non"
"10173104","30/05/2025","non"
"10173105","30/05/2025","non"
"10173106","30/05/2025","non"
"10173107","30/05/2025","non"
"10173108","30/05/2025","non"
"10173109","30/05/2025","non"
"10173110","30/05/2025","non"
"10173111","30/05/2025","non"
"10173112","30/05/2025","non"
"10173113","30/05/2025","non"
"10173114","30/05/2025","non"
"10173115","05/06/2025","non"
"10173116","01/06/2025","non"
"10173117","01/06/2025","non"
"10173118","01/06/2025","non"
"10173119","01/06/2025","non"
"10173120","01/06/2025","non"
"10173121","01/06/2025","non"
"10173122","01/06/2025","non"
"10173123","01/06/2025","non"
"10173124","01/06/2025","non"
"10173125","01/06/2025","non"
"10173126","01/06/2025","non"
"10173127","01/06/2025","non"
"10173128","01/06/2025","non"
"10173129","01/06/2025","non"
"10173130","01/06/2025","non"
"10173131","01/06/2025","non"
"10173132","01/06/2025","non"
"10173133","01/06/2025","non"
"10173134","01/06/2025","non"
"10173135","01/06/2025","non"
"10173136","01/06/2025","non"
