"label","last_mesure","sang_ok"
"10174202","30/06/2025","non"
"3661919","15/05/2017","oui"
"3661945","26/06/2017","oui"
"5545098","12/05/2017","oui"
"5545499","29/04/2020","non"
"5545500","29/04/2020","oui"
"6402119","11/05/2023","oui"
"6402146","28/06/2024","oui"
"6402151","10/05/2025","oui"
"6402154","06/05/2022","non"
"6402192","19/05/2022","oui"
"6402195","09/05/2023","oui"
"6988794","04/05/2017","oui"
"6988795","04/05/2017","oui"
"6988796","04/05/2017","oui"
"6988797","20/05/2018","non"
"6988958","17/05/2023","non"
"6988963","14/05/2018","non"
"6988989","23/05/2018","oui"
"6988990","26/05/2018","oui"
"6988991","26/05/2018","oui"
"6988992","28/05/2018","non"
"6988993","29/05/2018","non"
"6988994","29/05/2018","non"
"6988995","29/05/2018","non"
"6988996","06/05/2021","oui"
"6989000","10/05/2019","oui"
"7207328","09/05/2019","oui"
"7207329","08/05/2018","oui"
"7207335","15/06/2017","oui"
"7207336","04/05/2021","oui"
"7207354","25/05/2018","oui"
"7207361","14/05/2020","oui"
"7207362","07/05/2017","oui"
"7207363","07/05/2017","oui"
"7207364","07/05/2017","oui"
"7207365","07/05/2017","oui"
"7207366","12/05/2017","oui"
"7207379","15/05/2017","oui"
"7207380","15/05/2017","oui"
"7207400","10/05/2019","oui"
"7209897","27/04/2018","oui"
"7209898","02/05/2018","oui"
"7209899","02/05/2018","oui"
"7209900","09/05/2018","oui"
"7438035","03/06/2022","oui"
"7532096","20/06/2017","oui"
"7532097","02/04/2020","non"
"7532098","07/05/2017","oui"
"7532099","07/05/2017","oui"
"7532100","12/05/2017","oui"
"7715399","21/06/2019","oui"
"7715400","28/05/2020","oui"
"7716959","09/05/2021","oui"
"7716973","07/06/2019","oui"
"7973592","27/04/2017","non"
"7973593","29/04/2017","oui"
"7973594","29/05/2018","oui"
"7973595","02/05/2017","non"
"7973596","02/05/2017","non"
"7973597","02/05/2017","non"
"7973598","03/05/2017","non"
"7973599","04/07/2018","oui"
"7973600","07/05/2017","non"
"7973654","09/05/2017","oui"
"7973655","18/05/2019","oui"
"7973656","09/05/2017","oui"
"7973657","31/05/2018","oui"
"7973658","06/07/2018","oui"
"7973669","20/05/2018","oui"
"7973681","16/05/2018","oui"
"7973985","03/05/2019","oui"
"7973988","15/05/2018","oui"
"7973995","16/05/2019","non"
"7974107","18/05/2018","oui"
"7974108","04/05/2019","oui"
"7974109","20/05/2018","oui"
"7974110","20/05/2018","oui"
"7974111","01/07/2020","oui"
"7974112","10/05/2019","oui"
"7974113","13/05/2019","oui"
"7974114","10/05/2019","oui"
"7974115","10/06/2019","oui"
"7974132","04/07/2019","oui"
"7974145","30/04/2021","non"
"7974146","11/05/2021","oui"
"7974152","20/05/2021","non"
"7974156","09/05/2020","oui"
"7974157","09/05/2020","non"
"7974158","09/05/2021","oui"
"7974159","13/07/2021","non"
"7974166","15/05/2020","non"
"7974191","05/05/2023","oui"
"7974199","07/06/2021","oui"
"7974290","07/05/2020","oui"
"7974291","22/05/2018","oui"
"7974296","26/05/2018","non"
"7974297","15/05/2017","non"
"7974479","04/05/2019","oui"
"7974649","29/05/2018","oui"
"7974697","07/06/2024","oui"
"7974700","06/05/2022","oui"
"7975046","21/04/2017","oui"
"7975047","21/04/2017","oui"
"7975048","21/04/2017","oui"
"7975049","24/04/2017","oui"
"7975056","09/05/2022","oui"
"7975065","26/04/2017","oui"
"7975066","27/04/2017","oui"
"7975067","21/06/2018","oui"
"7975068","02/05/2018","oui"
"7975069","27/04/2017","oui"
"7975070","27/04/2017","oui"
"7975071","28/04/2017","oui"
"7975072","21/05/2018","oui"
"7975073","01/06/2017","oui"
"7975079","30/04/2017","oui"
"7975088","14/06/2021","oui"
"7975440","01/05/2019","non"
"7975441","24/05/2018","non"
"7975449","12/05/2021","non"
"7975452","15/06/2019","oui"
"7975476","07/06/2021","oui"
"7975669","25/06/2018","non"
"7975670","02/05/2017","non"
"7975671","02/05/2017","oui"
"7975672","02/05/2017","oui"
"7975673","16/05/2019","oui"
"7975674","02/05/2017","oui"
"7975675","22/05/2018","non"
"7975676","04/05/2017","non"
"7975677","06/07/2018","non"
"7975678","04/05/2017","oui"
"7975679","04/05/2017","non"
"7975680","15/05/2018","non"
"7975681","04/05/2017","non"
"7975682","05/05/2017","oui"
"7975683","07/05/2017","oui"
"7975684","07/05/2017","oui"
"7975685","09/07/2020","non"
"7975693","19/06/2019","oui"
"7975696","20/06/2019","oui"
"7975825","25/04/2017","oui"
"7975836","02/05/2017","oui"
"7975838","08/05/2018","oui"
"7975853","24/05/2018","oui"
"7975854","25/05/2021","non"
"7975860","18/05/2018","oui"
"7975869","09/06/2017","oui"
"7975870","09/06/2017","oui"
"7975886","07/05/2020","oui"
"7975890","10/05/2019","oui"
