"bague","autre_bague","espece","sexe","age_2025","lieu_bag","nic_naiss","sang_ok","number_captures","nb_of","nb_cog"
"3661919",,"bleue","F",8,"rou",,"oui",1,0,0
"3661945",,"charbo","F",7,"rou",,"oui",2,0,0
"5126891",,"bleue","M",5,"mur",,"non",1,0,0
"5126892",,"bleue",,6,"mur","mur_57","non",,,
"5126893",,"bleue",,6,"mur","mur_57","non",,,
"5126894",,"bleue",,6,"mur","mur_57","non",,,
"5126895",,"bleue",,6,"mur","mur_57","non",,,
"5126896",,"bleue",,6,"mur","mur_59","non",,,
"5126897",,"bleue",,6,"mur","mur_59","non",,,
"5126898",,"bleue",,6,"mur","mur_59","non",,,
"5126899",,"bleue",,6,"mur","mur_59","non",,,
"5126900",,"bleue",,6,"mur","mur_59","non",,,
"5468901",,"bleue","M",6,"mur","mur_59","non",3,1,1
"5468902",,"bleue",,6,"mur","mur_59","non",,,
"5468903",,"bleue",,6,"mur","mur_59","non",,,
"5468904",,"bleue","M",5,"mur",,"non",1,0,0
"5468905",,"bleue",,6,"mur","mur_93","non",,,
"5468906",,"bleue",,6,"mur","mur_93","non",,,
"5468907",,"bleue",,6,"mur","mur_93","non",,,
"5468908",,"bleue",,6,"mur","mur_93","non",,,
"5468909",,"bleue",,6,"mur","mur_93","non",,,
"5468910",,"bleue",,6,"mur","mur_93","non",,,
"5468911",,"bleue",,6,"mur","mur_93","non",,,
"5468912",,"bleue",,6,"mur","mur_93","non",,,
"5468913",,"bleue","F",4,"mur",,"non",1,0,0
"5468914",,"bleue","M",6,"mur","mur_43","oui",1,1,1
"5468915",,"bleue",,6,"mur","mur_43","non",,,
"5468916",,"bleue",,6,"mur","mur_43","non",,,
"5468917",,"bleue",,6,"mur","mur_43","non",,,
"5468918",,"bleue",,6,"mur","mur_43","non",,,
"5468919",,"bleue",,6,"mur","mur_43","non",,,
"5468920",,"bleue",,6,"mur","mur_43","non",,,
"5468921",,"bleue","M",6,"mur","mur_43","oui",1,1,1
"5468922",,"bleue",,6,"mur","mur_43","non",,,
"5468923",,"bleue",,6,"mur","mur_43","non",,,
"5468924",,"bleue",,6,"mur","mur_43","non",,,
"5468925",,"bleue",,6,"mur","mur_91","non",,,
"5468926",,"bleue",,6,"mur","mur_91","non",,,
"5468927",,"bleue",,6,"mur","mur_91","non",,,
"5468928",,"bleue",,6,"mur","mur_91","non",,,
"5468929",,"bleue","M",4,"ava",,"oui",3,2,2
"5468930",,"bleue",,6,"ava","ava_20","non",,,
"5468931",,"bleue",,6,"ava","ava_20","non",,,
"5468932",,"bleue",,6,"ava","ava_20","non",,,
"5468933",,"bleue",,6,"ava","ava_20","non",,,
"5468934",,"bleue",,6,"ava","ava_20","non",,,
"5468935",,"bleue",,6,"ava","ava_20","non",,,
"5468936",,"bleue",,6,"ava","ava_20","non",,,
"5468937",,"bleue",,6,"ava","ava_20","non",,,
"5468938",,"bleue",,6,"ava","ava_20","non",,,
"5468939",,"bleue",,6,"fel","fel_9","non",,,
"5468940",,"bleue",,6,"fel","fel_9","non",,,
